trial,cpp_slope_stim,cpp_val_at_t1,cpp_peak_resp,cpp_slope_resp,mrcp_mean,lrp_at_m100,lrp_onset,ideation_time,execution_time,total_time,n_strokes,pre_alpha,theta_planning,p1_amp,n1_amp,p3_amp,p3_lat,cnv_slope,cpp_slope,cpp_peak,cpp_peak_time,cpp_onset,cpp_auc
0,-1.9092169943478436,-1.519504822067024,-1.1282152156762266,-1.4912467761785584,0.264858131276074,3.9051424547748557,-0.8,0.5666666666666667,,,0,3.14559183186051e-06,3.364073756928372e-06,-0.4926265987355733,-0.5435008705784423,-0.22662572727062452,0.4766666666666667,,-1.9092169943478436,-0.8332410786409752,0.3433333333333333,0.8433333333333334,-0.04765765266338107
1,-2.014274303532115,-0.3929809269578946,-0.1613326312751601,-1.7738978614360135,-0.3680369749350421,0.27778369282056375,-0.8,0.62,,,0,5.592091575583272e-06,3.4406140283553348e-06,-0.4926265987355733,-0.5435008705784423,-0.22662572727062452,0.4766666666666667,,-2.014274303532115,0.4743859802594298,0.5266666666666666,1.3733333333333333,-0.10281708174147752
2,1.6213987149172928,0.05230814106488851,0.32883840276767673,2.06590212589693,-0.2781123730993265,-1.8871153660622588,-0.8,0.64,,,0,5.045323684848345e-06,1.7810785028030177e-06,-0.4926265987355733,-0.5435008705784423,-0.22662572727062452,0.4766666666666667,,1.6213987149172928,0.35013950742324407,0.58,0.57,0.008912846563427829
3,4.444068705679828,-0.03353429372563611,0.08474914628062243,0.46563661352549374,0.27954485280868197,0.8016863058775378,-0.8,0.38666666666666666,,,0,7.66752440026897e-06,3.4952130727497406e-06,-0.4926265987355733,-0.5435008705784423,-0.22662572727062452,0.4766666666666667,,,,,,
4,0.17305407476065443,-0.6439811127960311,-0.34074501148746184,0.12832619276500765,-0.4087959146654442,-0.24165787462047497,-0.8,0.5533333333333333,,,0,3.6377239340437786e-06,3.2423636852141367e-06,-0.4926265987355733,-0.5435008705784423,-0.22662572727062452,0.4766666666666667,,0.17305407476065443,-0.1335373621592925,0.46,0.08333333333333333,0.03985876845028817
5,4.5563675727684565,-0.3354943822885824,0.0776369547824799,2.394392212019114,-0.2951579782495116,0.4704936823873585,-0.8,0.4166666666666667,,,0,5.178309748989069e-06,2.0715641287442625e-06,-0.4926265987355733,-0.5435008705784423,-0.22662572727062452,0.4766666666666667,,4.5563675727684565,-0.07328300025747397,0.4033333333333333,0.39,0.06855489842947479
6,3.762533290537786,-0.9928599086056441,-0.7584526397574854,-3.206386690886277,1.1800078720315275,-1.171372091922461,-0.8,0.43333333333333335,,,0,3.5501908465029092e-06,2.927440869705495e-06,-0.4926265987355733,-0.5435008705784423,-0.22662572727062452,0.4766666666666667,,3.762533290537786,-0.7395018384120354,0.39666666666666667,0.04,0.07814020553519778
7,1.4831561993917357,-1.1038915199108457,-0.9384402326758201,-1.3939356211101204,0.9576431781384924,0.04744421743104879,-0.8,0.42,,,0,5.494413043947931e-06,5.488727796265853e-06,-0.4926265987355733,-0.5435008705784423,-0.22662572727062452,0.4766666666666667,,1.4831561993917357,-0.8142043267769679,0.4,1.3133333333333332,-0.0336169392278515
8,1.3750620391622592,-0.8676932352081745,-0.5961362687799462,0.12955408567263907,-0.6656812017999666,0.15652037153417625,-0.7933333333333333,1.1,,,0,6.619821850092598e-06,4.180194510419659e-06,-0.4926265987355733,-0.5435008705784423,-0.22662572727062452,0.4766666666666667,,1.3750620391622592,-0.2980346687775017,0.9766666666666667,0.10666666666666667,0.6348087282202068
9,-1.8241253223056555,-0.530023630617474,-0.24863955693336756,-1.607283941185055,0.07892261093640972,0.7467579066489475,-0.8,0.5033333333333333,,,0,5.838179683679584e-06,3.891891448582286e-06,-0.4926265987355733,-0.5435008705784423,-0.22662572727062452,0.4766666666666667,,-1.8241253223056555,-0.03280020587064629,0.49333333333333335,0.0033333333333333335,-0.0696785636350699
10,6.046906418948937,-3.866764323651444,-3.1281341972527295,-1.8769229206448992,0.15374320324359295,-0.7757532660155001,-0.8,0.38666666666666666,,,0,4.79425551452979e-06,3.624513974027193e-06,-0.4926265987355733,-0.5435008705784423,-0.22662572727062452,0.4766666666666667,,,,,,
11,-4.766082760850587,3.2615259063209243,3.2815927177685182,0.0326557573457314,-0.2788053329372156,0.327974536019858,-0.8,0.4866666666666667,,,0,4.312029156478892e-06,5.401018813620412e-06,-0.4926265987355733,-0.5435008705784423,-0.22662572727062452,0.4766666666666667,,-4.766082760850587,4.954106886851732,0.39666666666666667,0.0033333333333333335,0.028474989139442478
12,-2.942224857943456,-0.9079979610921947,-0.6509547973101312,-2.8288566134209048,0.44687475566656404,-1.4872050015037503,-0.8,1.9366666666666668,,,0,4.405407058419119e-06,3.581412673449736e-06,-0.4926265987355733,-0.5435008705784423,-0.22662572727062452,0.4766666666666667,,-0.5168954378733389,0.028064216401941816,0.3,,-2.1798173089225257
