phase,metric,value
stim,alpha_ERD,-0.14683753560691049
stim,FM_theta,-0.01965976606848644
resp,mu_ERD_pre,-0.03227442705991137
resp,beta_ERD_pre,-0.026809832885732555
resp,PMBR,-0.12235814040894098
